Ticker,Date,article_count,neutral_count,positive_count,negative_count,neutral_avg,positive_avg,negative_avg,acquisition_avg,earnings_avg,production_avg,exploration_avg,green_energy_avg,Returns,Returns (no NaN),Returns Next Day,Returns Next Day(no NaN),Neu Ratio,Pos Ratio,Neg Ratio
PSX,2024-01-06,1,0,0,1,0.28001845115795726,0.04065953986719245,0.6793219824321568,0.7739292979240417,0.5448651798069477,0.30028868839144707,0.2547397688031196,0.17571692541241643,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
PSX,2024-01-13,1,0,0,1,0.2803094838745892,0.040644993772730176,0.6790455062873662,0.7752556949853897,0.5446803048253059,0.30257245153188705,0.25363533198833466,0.17524705640971658,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
PSX,2024-01-20,1,0,0,1,0.28192106587812304,0.0471944278106093,0.6708845235407352,0.7790584117174149,0.5259912833571434,0.3023483194410801,0.2237100973725319,0.14861843641847367,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
PSX,2024-01-27,1,0,0,1,0.2825787477195263,0.04264671797864132,0.6747745308093727,0.7727362215518951,0.5354474149644375,0.31157274544239044,0.2277752198278904,0.15819268859922883,,0.013341716550799188,0.013341716550799188,0.013341716550799188,0.0,0.0,1.0
PSX,2024-01-31,1,0,0,1,0.06439968058839435,0.30523866182193155,0.630361694842577,0.751941628754139,0.4035987965762615,0.29014526307582855,0.23639462515711782,0.16876305267214772,0.013341716550799188,0.013341716550799188,0.008592664793110938,0.008592664793110938,0.0,0.0,1.0
PSX,2024-02-01,1,0,0,1,0.14142502425238485,0.41066649509593844,0.44790852861478925,0.7938054874539375,0.3603337779641151,0.2836512885987758,0.15657240338623518,0.10945264622569079,0.008592664793110938,0.008592664793110938,,-0.008307129167403615,0.0,0.0,1.0
PSX,2024-02-03,1,0,0,1,0.1367788789793849,0.41216978384181857,0.45105132600292563,0.8167981877923012,0.4045045003294944,0.35116899386048317,0.19054176844656462,0.12549439445137975,,-0.008307129167403615,,-0.008307129167403615,0.0,0.0,1.0
PSX,2024-02-10,1,0,0,1,0.13574053253978488,0.4123039632104337,0.4519554986618459,0.815764881670475,0.4062858670949936,0.35191408917307854,0.19229403696954245,0.12571414187550542,,-0.008307129167403615,-0.008307129167403615,-0.008307129167403615,0.0,0.0,1.0
PSX,2024-02-12,1,0,0,1,0.1559193534776568,0.20459360443055627,0.6394870675479373,0.7065725922584534,0.317767471075058,0.19718685932457444,0.11637775708610809,0.07450528241073089,-0.008307129167403615,-0.008307129167403615,0.0049152478209117945,0.0049152478209117945,0.0,0.0,1.0
PSX,2024-02-13,1,0,0,1,0.0910220444202423,0.0156414527446031,0.8933365345001221,0.3576644659042358,0.1301607936620712,0.0836193114519119,0.07046639919281,0.0263866204768419,0.0049152478209117945,0.0049152478209117945,0.00034448572059742055,0.00034448572059742055,0.0,0.0,1.0
PSX,2024-02-14,1,0,0,1,0.1159588173031807,0.0164975188672542,0.867543637752533,0.5340991020202637,0.1109441667795181,0.0978849232196807,0.0728164538741111,0.0289290323853492,0.00034448572059742055,0.00034448572059742055,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-02-17,1,0,0,1,0.14460922405123708,0.4064336393494159,0.4489571778103709,0.7974487319588661,0.35813257470726967,0.28486220166087145,0.16716480813920492,0.11290336586534973,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-02-24,1,0,0,1,0.14489078521728513,0.4064424717798829,0.448666769079864,0.796974815428257,0.36173004284501076,0.29071087762713427,0.17035248503088946,0.1151355300098657,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-03-02,1,0,0,1,0.13730377610772845,0.4116301510948688,0.4510660604573786,0.8080218508839607,0.3802420832216739,0.330383513122797,0.1882253140211105,0.11238112859427926,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-03-09,1,0,0,1,0.13628601003438232,0.4117119333241135,0.452002061996609,0.8087947592139244,0.3837162889540195,0.33531545475125313,0.18976367264986035,0.1120007652789354,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-03-16,1,0,0,1,0.14469159580767152,0.40648570074699814,0.44882273953408003,0.7926065847277641,0.3505359925329685,0.27377603203058243,0.16296862624585623,0.10353367496281858,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
PSX,2024-03-23,1,0,0,1,0.14465267769992346,0.40651333821006114,0.4488339899107814,0.7930647358298302,0.35308089479804033,0.28183620423078537,0.16819640062749383,0.10613380838185546,,-0.011753886668096847,,-0.011753886668096847,0.0,0.0,1.0
